,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT
27352,VA,22801,14600,14600,887360,12440,603626
27353,VA,22802,12150,12150,572396,10570,403459
27354,VA,22810,490,490,37730,330,16083
27355,VA,22811,230,230,9729,190,6631
27356,VA,22812,3850,3850,236548,2990,144782
27357,VA,22815,4170,4170,218164,3620,160358
27358,VA,22821,2570,2570,144698,2030,89502
27359,VA,22824,2920,2920,154538,2420,106689
27360,VA,22827,4910,4910,236639,4210,179223
27361,VA,22830,760,760,33988,650,24634
27362,VA,22831,390,390,18382,300,12599
27363,VA,22832,540,540,32894,450,22439
27364,VA,22834,620,620,35644,520,23108
27365,VA,22835,5320,5320,267776,4370,175914
27366,VA,22840,2210,2210,146777,1880,101988
27367,VA,22841,1360,1360,98541,1110,57415
27368,VA,22842,2370,2370,115635,2000,79857
27369,VA,22843,1060,1060,52650,860,35550
27370,VA,22844,2020,2020,110733,1670,72393
27371,VA,22846,960,960,78435,800,53209
27372,VA,22847,460,460,23457,380,16195
27373,VA,22849,2250,2250,97892,1950,76304
27374,VA,22850,430,430,22525,380,16566
27375,VA,22851,2540,2540,107511,2210,81762
27376,VA,22853,2160,2160,96638,1920,73148
27377,VA,22901,17350,17350,1763274,14130,945971
27378,VA,22902,11150,11150,1006422,9630,561837
27379,VA,22903,15180,15180,1717520,13150,914715
27380,VA,22904,110,110,1902,100,1467
27381,VA,22911,8640,8640,857449,6980,543650
27382,VA,22920,1910,1910,155194,1550,88526
27383,VA,22922,840,840,37253,720,27599
27384,VA,22923,2720,2720,186335,2320,134541
27385,VA,22931,190,190,10831,150,6386
27386,VA,22932,4020,4020,423227,3260,279305
27387,VA,22935,450,450,23678,360,16351
27388,VA,22936,2660,2660,344459,2070,169637
27389,VA,22937,620,620,28418,550,20806
27390,VA,22938,660,660,35020,510,23885
27391,VA,22939,2770,2770,183860,2290,130633
27392,VA,22940,610,610,106054,440,29876
27393,VA,22942,4100,4100,257079,3510,186716
27394,VA,22943,250,250,21897,210,14863
27395,VA,22946,120,120,5937,110,4483
27396,VA,22947,2430,2430,368372,1750,172265
27397,VA,22948,110,110,7212,90,4279
27398,VA,22949,670,670,36141,510,23507
27399,VA,22952,970,970,51879,790,36136
27400,VA,22958,1040,1040,103603,670,39883
27401,VA,22959,830,830,62766,670,38735
27402,VA,22960,4870,4870,257809,4140,181657
27403,VA,22963,7610,7610,498186,6140,344828
27404,VA,22964,140,140,7139,120,4639
27405,VA,22967,970,970,58973,770,33245
27406,VA,22968,4770,4770,296859,4090,220189
27407,VA,22969,590,590,29099,510,21148
27408,VA,22971,770,770,35183,630,25248
27409,VA,22972,230,230,24323,170,9412
27410,VA,22973,2830,2830,163366,2340,106635
27411,VA,22974,2120,2120,140801,1800,99749
27412,VA,22976,120,110,5344,90,2977
27413,VA,22980,15810,15810,809378,13270,567611
27414,VA,23002,4980,4980,269028,4160,191494
27415,VA,23004,410,410,14433,360,11182
27416,VA,23005,8080,8080,615400,6860,412569
27417,VA,23009,3330,3330,195177,2920,153329
27418,VA,23011,510,510,40619,400,25698
27419,VA,23015,2110,2110,144408,1790,107148
27420,VA,23022,360,360,13093,290,9790
27421,VA,23023,160,160,7386,120,4927
27422,VA,23024,3890,3890,252817,3230,181237
27423,VA,23025,120,120,8556,80,3739
27424,VA,23027,640,640,30528,510,22456
27425,VA,23030,2420,2420,135180,2010,88521
27426,VA,23032,130,130,5825,110,4429
27427,VA,23035,660,660,39926,480,22196
27428,VA,23038,840,840,42278,700,31481
27429,VA,23039,520,520,70008,410,34654
27430,VA,23040,2040,2040,84717,1740,62337
27431,VA,23043,830,830,53681,570,24568
27432,VA,23047,1120,1120,80691,970,60033
27433,VA,23050,380,380,20681,290,13866
27434,VA,23055,480,480,25943,400,16490
27435,VA,23056,170,170,9922,130,6544
27436,VA,23059,16120,16120,1993059,13890,1476123
27437,VA,23060,18200,18200,1399809,15800,1094409
27438,VA,23061,9540,9540,579506,8030,406843
27439,VA,23062,1400,1400,82515,1100,54537
27440,VA,23063,2310,2310,152941,1940,105996
27441,VA,23065,760,760,45319,650,34098
27442,VA,23066,180,180,10664,120,5010
27443,VA,23068,150,150,10602,90,3851
27444,VA,23069,1540,1540,109296,1270,73340
27445,VA,23070,210,210,15069,140,7119
27446,VA,23071,750,750,54719,530,25371
27447,VA,23072,5210,5210,297339,4390,215728
27448,VA,23075,4970,4970,178641,4510,147588
27449,VA,23076,320,320,17410,230,9957
27450,VA,23079,140,140,6604,110,4006
27451,VA,23083,870,870,43879,760,33722
27452,VA,23084,830,830,49101,720,37255
27453,VA,23085,190,190,8837,150,5685
27454,VA,23086,1460,1460,83325,1270,63444
27455,VA,23089,2460,2460,168017,2010,114407
27456,VA,23091,140,140,5656,100,3938
27457,VA,23092,260,260,17264,190,9424
27458,VA,23093,6100,6100,333950,5220,243978
27459,VA,23102,1320,1320,122374,1090,81411
27460,VA,23103,2920,2920,615196,2230,318642
27461,VA,23106,560,560,31068,490,22944
27462,VA,23109,1020,1020,65984,790,37755
27463,VA,23110,310,310,19205,260,12476
27464,VA,23111,18540,18540,1255603,15580,913901
27465,VA,23112,24770,24770,1936721,21570,1461538
27466,VA,23113,12530,12530,1904165,10200,1197758
27467,VA,23114,9390,9390,819604,8000,613477
27468,VA,23115,190,190,9194,170,7470
27469,VA,23116,14890,14890,1401622,12840,1011392
27470,VA,23117,4570,4570,311152,3670,196229
27471,VA,23119,140,140,9073,100,4543
27472,VA,23120,4770,4770,561970,4290,442848
27473,VA,23123,770,770,31360,670,23265
27474,VA,23124,1960,1960,144741,1670,105241
27475,VA,23126,230,230,9307,200,7229
27476,VA,23128,560,560,34860,440,19544
27477,VA,23129,220,220,24572,180,15331
27478,VA,23138,440,440,29355,330,15279
27479,VA,23139,12290,12290,943389,10350,667594
27480,VA,23140,2860,2860,210725,2410,145637
27481,VA,23141,4060,4060,495385,3530,424191
27482,VA,23146,1570,1570,147716,1260,94283
27483,VA,23148,790,790,35451,690,26731
27484,VA,23149,1280,1280,61173,1050,42081
27485,VA,23150,6330,6330,323906,5430,243332
27486,VA,23153,740,740,60063,640,47114
27487,VA,23156,800,800,40019,680,28470
27488,VA,23168,3810,3810,292811,3240,211625
27489,VA,23169,580,580,29205,410,15475
27490,VA,23175,970,970,64510,740,35098
27491,VA,23176,290,290,16522,230,9490
27492,VA,23177,320,320,17424,270,11684
27493,VA,23180,140,140,6102,120,4408
27494,VA,23181,2710,2710,158964,2300,114338
27495,VA,23185,21610,21610,1967460,16860,1100162
27496,VA,23187,430,430,26577,310,11889
27497,VA,23188,21600,21600,1771445,16460,998911
27498,VA,23192,3370,3370,285811,2850,191615
27499,VA,23219,2330,2330,296117,2180,111248
27500,VA,23220,14560,14560,903608,13280,665207
27501,VA,23221,8290,8290,1190237,7230,575154
27502,VA,23222,11820,11820,389943,10570,310296
27503,VA,23223,24130,24130,950891,21800,785951
27504,VA,23224,16310,16310,480871,14670,411551
27505,VA,23225,19450,19450,1022947,17010,766421
27506,VA,23226,8480,8480,1404823,6790,742475
27507,VA,23227,12640,12640,741390,10240,472369
27508,VA,23228,17980,17980,791851,15510,622619
27509,VA,23229,16150,16150,1920677,12940,1118239
27510,VA,23230,4060,4060,245383,3480,180686
27511,VA,23231,17990,17990,888840,16050,684042
27512,VA,23233,14870,14870,1554483,12610,1132874
27513,VA,23234,20340,20340,799588,17630,623169
27514,VA,23235,16580,16580,1177762,13440,790676
27515,VA,23236,13700,13700,910819,11440,638130
27516,VA,23237,10830,10830,501721,9430,393429
27517,VA,23238,12810,12810,1390560,10190,858820
27518,VA,23294,8810,8810,425023,7720,349587
27519,VA,23301,840,840,35274,710,23551
27520,VA,23303,430,430,19576,350,14462
27521,VA,23306,520,520,28178,390,16811
27522,VA,23307,230,230,7390,200,5506
27523,VA,23308,690,690,26061,610,19749
27524,VA,23310,1580,1580,98804,1230,56707
27525,VA,23314,4160,4160,317888,3560,242962
27526,VA,23315,710,710,39908,600,29981
27527,VA,23316,600,600,20380,520,14423
27528,VA,23320,28430,28430,1741362,24960,1328275
27529,VA,23321,16700,16700,1091738,14240,807903
27530,VA,23322,28510,28510,2418412,24730,1762689
27531,VA,23323,17740,17740,1034428,15730,827706
27532,VA,23324,10420,10420,344137,9350,288981
27533,VA,23325,8480,8480,399808,7280,296049
27534,VA,23336,1630,1630,88229,1160,48570
27535,VA,23337,190,190,9418,170,6817
27536,VA,23347,530,530,29816,420,15985
27537,VA,23350,1390,1390,58213,1140,36155
27538,VA,23354,230,230,16504,180,9017
27539,VA,23356,680,680,39572,500,24522
27540,VA,23357,320,320,10007,270,8040
27541,VA,23359,220,220,8090,200,6771
27542,VA,23395,350,350,10383,290,8086
27543,VA,23398,120,120,5855,70,2636
27544,VA,23401,150,150,4842,130,3245
27545,VA,23405,450,450,28412,330,12867
27546,VA,23407,350,350,10293,330,9324
27547,VA,23410,920,920,40944,780,28461
27548,VA,23413,470,470,18399,400,12578
27549,VA,23414,170,170,5482,160,4354
27550,VA,23415,720,720,31273,650,23806
27551,VA,23416,260,260,8132,230,6843
27552,VA,23417,1720,1720,103375,1300,52710
27553,VA,23418,700,700,30646,590,21307
27554,VA,23420,920,920,33545,810,25885
27555,VA,23421,1820,1820,70126,1580,52320
27556,VA,23422,230,230,10304,180,6547
27557,VA,23423,140,140,6412,100,3941
27558,VA,23430,8230,8230,596570,6910,426503
27559,VA,23432,730,730,71226,580,36172
27560,VA,23433,620,620,80970,470,38063
27561,VA,23434,21760,21760,1171930,19000,881381
27562,VA,23435,13650,13650,1080366,11950,805171
27563,VA,23436,450,450,52092,350,32824
27564,VA,23437,1980,1980,110537,1670,84129
27565,VA,23438,820,820,45976,690,34473
27566,VA,23440,170,170,7097,100,4823
27567,VA,23441,330,330,8424,300,7229
27568,VA,23442,480,480,18171,440,14464
27569,VA,23451,22250,22250,2636416,18120,1261337
27570,VA,23452,28450,28450,1831411,24430,1256683
27571,VA,23453,16440,16440,825227,14910,671866
27572,VA,23454,28350,28350,2256450,24330,1439479
27573,VA,23455,23700,23700,1782784,19610,1170722
27574,VA,23456,26530,26530,2166749,23270,1569567
27575,VA,23457,2230,2230,184856,1830,119276
27576,VA,23459,360,360,8701,360,8662
27577,VA,23460,560,560,11582,560,11478
27578,VA,23461,150,150,3264,150,3249
27579,VA,23462,31210,31210,1475199,27550,1142327
27580,VA,23464,35570,35570,2068366,30950,1547774
27581,VA,23480,200,200,8861,150,5811
27582,VA,23487,2900,2900,161952,2510,120541
27583,VA,23502,9770,9770,401229,8470,302817
27584,VA,23503,13850,13850,622040,12160,479366
27585,VA,23504,8560,8560,257852,7860,214938
27586,VA,23505,12060,12060,718183,10680,467275
27587,VA,23507,3010,3010,302733,2600,192333
27588,VA,23508,6550,6550,466125,5840,326640
27589,VA,23509,6170,6170,308860,5440,234779
27590,VA,23510,3570,3570,287776,3000,166737
27591,VA,23511,1450,1450,43035,1430,42531
27592,VA,23513,13800,13800,476162,12360,396004
27593,VA,23517,2560,2560,154499,2250,116198
27594,VA,23518,14370,14370,776499,12170,556897
27595,VA,23523,3090,3090,79328,2810,66037
27596,VA,23601,12220,12220,637700,10550,476626
27597,VA,23602,19850,19850,1036969,17120,774712
27598,VA,23603,1650,1650,76136,1510,64028
27599,VA,23604,1500,1500,52323,1480,49915
27600,VA,23605,6650,6650,220438,6000,191425
27601,VA,23606,13130,13130,862008,11110,562812
27602,VA,23607,9110,9110,255973,8180,210182
27603,VA,23608,20450,20450,880544,18270,695868
27604,VA,23651,280,280,22210,180,11847
27605,VA,23661,6270,6270,269665,5350,202881
27606,VA,23662,5900,5900,504490,4720,326467
27607,VA,23663,6050,6050,224042,5270,175647
27608,VA,23664,4750,4750,298453,3940,208519
27609,VA,23665,1980,1980,89743,1960,86472
27610,VA,23666,25300,25300,1188258,21880,916175
27611,VA,23669,18030,18030,909709,15300,656834
27612,VA,23690,1550,1550,82132,1350,61317
27613,VA,23691,120,120,3343,120,3327
27614,VA,23692,9430,9430,753408,7480,479749
27615,VA,23693,10900,10900,964477,9400,683095
27616,VA,23696,1830,1830,154574,1460,101378
27617,VA,23701,11480,11480,483039,9670,359785
27618,VA,23702,4940,4940,162891,4490,140562
27619,VA,23703,12690,12690,674395,10890,500466
27620,VA,23704,7770,7770,275893,6950,221185
27621,VA,23707,6490,6490,270705,5730,211151
27622,VA,23708,170,170,4174,170,4075
27623,VA,23801,2020,2020,87323,2010,84371
27624,VA,23803,17760,17760,671834,15690,527938
27625,VA,23805,9690,9690,455033,8230,318739
27626,VA,23821,670,670,26974,580,20160
27627,VA,23824,3040,3040,133554,2590,96854
27628,VA,23827,590,590,23355,500,17458
27629,VA,23828,180,180,7970,170,6118
27630,VA,23829,560,560,28615,470,19593
27631,VA,23830,750,750,49105,640,36196
27632,VA,23831,17290,17290,1054605,14910,777177
27633,VA,23832,17570,17570,1170661,15370,909554
27634,VA,23833,970,970,59465,820,42544
27635,VA,23834,12600,12600,648574,10450,457163
27636,VA,23836,6380,6380,513950,5560,362870
27637,VA,23837,1880,1880,107374,1580,69946
27638,VA,23838,7920,7920,785646,6820,542923
27639,VA,23839,410,410,17622,360,14837
27640,VA,23840,800,800,39356,680,30598
27641,VA,23841,1710,1710,89356,1440,61341
27642,VA,23842,3280,3280,209508,2810,156010
27643,VA,23843,260,260,12347,220,8327
27644,VA,23844,260,260,11391,230,8779
27645,VA,23845,220,220,11695,160,6868
27646,VA,23846,380,380,20221,330,15130
27647,VA,23847,5520,5520,212184,4880,162448
27648,VA,23850,510,510,23703,430,16949
27649,VA,23851,5980,5980,271390,5060,190838
27650,VA,23856,470,470,18106,420,14782
27651,VA,23857,310,310,16137,230,10350
27652,VA,23860,12700,12700,545774,10890,401602
27653,VA,23866,980,980,54618,830,40507
27654,VA,23867,1020,1020,41727,890,32061
27655,VA,23868,2060,2060,78577,1790,58708
27656,VA,23872,1040,1040,50812,890,36855
27657,VA,23874,460,460,22688,380,15573
27658,VA,23875,5680,5680,309357,4860,218193
27659,VA,23876,190,190,10265,150,6638
27660,VA,23878,570,570,28881,500,22696
27661,VA,23879,330,330,13986,280,10909
27662,VA,23881,780,780,42271,660,30343
27663,VA,23882,1060,1060,48015,900,33136
27664,VA,23883,1210,1210,63706,1050,46714
27665,VA,23885,1350,1350,85272,1140,57947
27666,VA,23887,200,200,11241,160,7164
27667,VA,23888,1050,1050,47859,920,35776
27668,VA,23889,260,260,10251,220,7963
27669,VA,23890,1780,1780,76783,1560,55732
27670,VA,23893,200,200,6898,170,5769
27671,VA,23894,280,280,15153,240,10947
27672,VA,23897,240,240,11309,180,7358
27673,VA,23898,1020,1020,60649,840,43528
27674,VA,23899,140,140,6684,110,4482
27675,VA,23901,5690,5690,279742,4720,181648
27676,VA,23915,360,360,14616,330,11686
27677,VA,23917,1200,1200,61124,950,38611
27678,VA,23919,1100,1100,64506,790,34708
27679,VA,23920,1340,1340,51180,1200,40387
27680,VA,23921,850,850,41635,690,27371
27681,VA,23922,900,900,40712,760,29065
27682,VA,23923,950,950,40234,740,27286
27683,VA,23924,2380,2380,91324,2000,64076
27684,VA,23927,1900,1900,113462,1370,66111
27685,VA,23930,2340,2340,104662,1950,71813
27686,VA,23934,270,270,11263,220,8273
27687,VA,23936,2510,2510,116063,2190,82311
27688,VA,23937,700,700,28189,620,20059
27689,VA,23938,260,260,9140,200,6883
27690,VA,23942,480,480,19938,400,14025
27691,VA,23944,1730,1730,75470,1440,52569
27692,VA,23947,1780,1780,77205,1490,54504
27693,VA,23950,1500,1500,53069,1290,39901
27694,VA,23952,100,100,5974,80,3364
27695,VA,23954,840,840,30820,740,24023
27696,VA,23958,1300,1300,55778,1070,40209
27697,VA,23959,470,470,19489,380,15192
27698,VA,23960,800,800,31973,680,22954
27699,VA,23962,250,250,10087,230,8490
27700,VA,23963,210,210,9671,170,7261
27701,VA,23964,480,480,17875,410,14017
27702,VA,23966,990,990,43837,880,32945
27703,VA,23967,410,410,14453,370,11386
27704,VA,23968,390,390,14575,330,11155
27705,VA,23970,3580,3580,167600,3050,116606
27706,VA,23974,1590,1590,67100,1320,44589
27707,VA,24011,430,430,31338,390,22306
27708,VA,24012,13540,13540,568415,11760,446899
27709,VA,24013,2900,2900,77855,2660,68149
27710,VA,24014,7990,7990,759411,6490,392724
27711,VA,24015,7770,7770,445020,6660,325645
27712,VA,24016,3930,3930,129966,3660,110213
27713,VA,24017,10320,10320,311071,9210,248586
27714,VA,24018,19130,19130,1689433,15150,1065377
27715,VA,24019,13490,13490,770352,11250,554949
27716,VA,24053,900,900,35376,750,27507
27717,VA,24054,2620,2620,98643,2320,79139
27718,VA,24055,4840,4840,180469,4180,137759
27719,VA,24058,160,160,7248,140,5789
27720,VA,24059,440,440,35376,370,20722
27721,VA,24060,15180,15180,1100203,13250,751868
27722,VA,24064,2340,2340,145461,1950,105428
27723,VA,24065,2860,2860,162477,2370,114498
27724,VA,24066,2210,2210,134198,1860,88334
27725,VA,24067,960,960,46170,810,34559
27726,VA,24069,790,790,30858,690,24394
27727,VA,24070,700,700,39969,550,28786
27728,VA,24072,570,570,27245,460,20384
27729,VA,24073,13930,13930,756709,12170,579980
27730,VA,24076,370,370,15469,310,11768
27731,VA,24077,530,530,29488,460,22205
27732,VA,24078,3060,3060,124058,2630,94225
27733,VA,24079,740,740,34985,580,24607
27734,VA,24082,190,190,8095,180,6466
27735,VA,24083,1880,1880,173315,1410,104242
27736,VA,24084,4730,4730,231463,4040,171365
27737,VA,24085,910,910,48801,750,33845
27738,VA,24086,100,100,5023,80,3255
27739,VA,24087,1580,1580,68383,1410,55296
27740,VA,24088,1600,1600,66573,1310,48831
27741,VA,24089,1110,1110,37995,950,30362
27742,VA,24090,2090,2090,151056,1690,100689
27743,VA,24091,3350,3350,168116,2710,110780
27744,VA,24092,1270,1270,57512,1070,42894
27745,VA,24095,2020,2020,109205,1700,79106
27746,VA,24101,2910,2910,174449,2300,116546
27747,VA,24102,620,620,24572,500,17977
27748,VA,24104,1600,1600,107007,1120,60956
27749,VA,24105,190,190,7986,150,5412
27750,VA,24112,12830,12830,554058,11010,388788
27751,VA,24120,770,770,34425,570,20967
27752,VA,24121,4980,4980,380503,3620,202213
27753,VA,24122,760,760,36598,650,27208
27754,VA,24124,1820,1820,78069,1540,60801
27755,VA,24127,1790,1790,85858,1470,60217
27756,VA,24128,830,830,49333,660,33106
27757,VA,24132,190,190,6638,180,5449
27758,VA,24133,1030,1030,40853,890,31487
27759,VA,24134,2490,2490,121495,2010,87483
27760,VA,24136,1480,1480,69686,1230,52817
27761,VA,24137,1060,1060,71671,790,37396
27762,VA,24138,690,690,31956,560,24243
27763,VA,24139,260,260,10688,210,7187
27764,VA,24141,7850,7850,414213,6830,293478
27765,VA,24147,390,390,16694,320,12468
27766,VA,24148,3280,3280,141139,2790,105037
27767,VA,24149,1580,1580,99078,1320,72532
27768,VA,24150,290,290,11910,230,8869
27769,VA,24151,8350,8350,385210,7160,278967
27770,VA,24153,17160,17160,1080472,14100,730585
27771,VA,24161,140,140,5818,120,4393
27772,VA,24162,920,920,44704,770,34443
27773,VA,24165,720,720,30552,620,23652
27774,VA,24167,140,140,5976,110,4651
27775,VA,24168,310,310,12502,270,9489
27776,VA,24171,3250,3250,152693,2710,103140
27777,VA,24174,1050,1050,47131,900,35218
27778,VA,24175,3780,3780,253229,3100,175541
27779,VA,24176,650,650,50406,470,25168
27780,VA,24179,8840,8840,443833,7410,327973
27781,VA,24184,2120,2120,117921,1670,76764
27782,VA,24185,390,390,15815,320,11283
27783,VA,24201,6400,6400,252375,5300,183393
27784,VA,24202,5260,5260,306592,4350,208211
27785,VA,24210,6510,6510,344831,5370,230553
27786,VA,24211,4070,4070,283551,3180,184311
27787,VA,24216,820,820,25609,700,19915
27788,VA,24219,3480,3480,156421,2950,115630
27789,VA,24220,240,240,9070,210,7348
27790,VA,24221,260,260,8692,200,6937
27791,VA,24224,1930,1930,78770,1620,60960
27792,VA,24225,550,550,20545,450,15388
27793,VA,24226,450,450,16528,380,12837
27794,VA,24228,2300,2300,97709,1950,72281
27795,VA,24230,2880,2880,112206,2490,84559
27796,VA,24236,1170,1170,47031,960,34116
27797,VA,24237,310,310,10276,270,7807
27798,VA,24239,120,120,4825,100,3446
27799,VA,24243,770,770,29351,630,21737
27800,VA,24244,1780,1780,70648,1510,57185
27801,VA,24245,350,350,13304,290,10032
27802,VA,24246,170,170,6264,160,5142
27803,VA,24248,820,820,32043,680,22544
27804,VA,24250,410,410,14539,350,12305
27805,VA,24251,3430,3430,155870,2830,117278
27806,VA,24256,960,960,37752,810,29664
27807,VA,24258,550,550,24230,460,18497
27808,VA,24260,1840,1840,71588,1560,56913
27809,VA,24263,2180,2180,95777,1800,70427
27810,VA,24265,210,210,7349,190,5709
27811,VA,24266,3660,3660,181842,3110,138668
27812,VA,24270,200,200,7727,150,5148
27813,VA,24271,940,940,37768,750,29326
27814,VA,24272,140,140,5384,120,4105
27815,VA,24273,2210,2210,89938,1920,67655
27816,VA,24277,1680,1680,63081,1410,47362
27817,VA,24279,1490,1490,60166,1290,45329
27818,VA,24280,430,430,26861,370,17974
27819,VA,24281,750,750,27929,620,21972
27820,VA,24282,180,180,3784,160,3293
27821,VA,24283,930,930,37736,790,27440
27822,VA,24290,630,630,25051,510,18442
27823,VA,24292,150,150,6538,130,3727
27824,VA,24293,3830,3830,192099,3310,141953
27825,VA,24301,5710,5710,244947,4920,183730
27826,VA,24311,770,770,26960,660,22086
27827,VA,24312,900,900,34795,780,28273
27828,VA,24313,400,400,15267,360,12732
27829,VA,24314,560,560,26702,480,20327
27830,VA,24315,1270,1270,65007,1070,45777
27831,VA,24317,1280,1280,50093,1110,39566
27832,VA,24318,230,230,10791,190,7384
27833,VA,24319,2900,2900,123910,2480,96586
27834,VA,24323,290,290,11978,230,9135
27835,VA,24324,940,940,50527,790,37242
27836,VA,24325,400,400,16542,320,11098
27837,VA,24326,430,430,19879,320,11235
27838,VA,24328,820,820,40306,620,24854
27839,VA,24330,1290,1290,43365,1100,34569
27840,VA,24333,7210,7210,290103,6170,217216
27841,VA,24340,2260,2260,98225,1940,73985
27842,VA,24343,3880,3880,166735,3210,118224
27843,VA,24347,780,780,34681,650,26397
27844,VA,24348,1620,1620,66327,1370,45202
27845,VA,24350,510,510,17569,450,14483
27846,VA,24351,230,230,7824,200,6597
27847,VA,24352,400,400,16517,310,10921
27848,VA,24354,5910,5910,254958,5040,179420
27849,VA,24360,2400,2400,103556,2110,83006
27850,VA,24361,1880,1880,82444,1620,64838
27851,VA,24363,510,510,20115,420,13998
27852,VA,24366,390,390,17224,330,12889
27853,VA,24368,2130,2130,93396,1830,71701
27854,VA,24370,2240,2240,85460,1960,68389
27855,VA,24374,300,300,11370,260,8923
27856,VA,24375,600,600,22633,500,17265
27857,VA,24377,100,100,4379,90,2997
27858,VA,24378,430,430,16438,330,11772
27859,VA,24380,1090,1090,53042,890,36683
27860,VA,24381,1630,1630,67779,1380,49952
27861,VA,24382,6310,6310,308996,5340,213340
27862,VA,24401,16970,16970,900720,14080,600443
27863,VA,24413,120,120,5306,80,2921
27864,VA,24416,3680,3680,140989,3230,110849
27865,VA,24421,1720,1720,92948,1440,64078
27866,VA,24422,2530,2530,119102,2090,83786
27867,VA,24426,6320,6320,297811,5140,216398
27868,VA,24430,670,670,25077,580,20313
27869,VA,24431,1290,1290,57007,1140,44560
27870,VA,24432,170,170,6905,120,5035
27871,VA,24435,870,870,52477,690,32852
27872,VA,24437,430,430,27813,360,17894
27873,VA,24439,470,470,18901,400,14688
27874,VA,24440,1170,1170,54344,980,39186
27875,VA,24441,2760,2760,135862,2410,104987
27876,VA,24445,1250,1250,59953,1060,42177
27877,VA,24448,190,190,7964,160,5788
27878,VA,24450,6640,6640,440011,5110,250532
27879,VA,24457,130,130,5358,120,3889
27880,VA,24458,160,160,9563,110,4959
27881,VA,24459,350,350,21231,280,12842
27882,VA,24460,680,680,35800,530,23508
27883,VA,24465,570,570,30628,410,15357
27884,VA,24467,1070,1070,69398,900,45864
27885,VA,24471,690,690,42130,550,28225
27886,VA,24472,1020,1020,54303,810,31882
27887,VA,24473,410,410,25608,290,13518
27888,VA,24474,210,210,7281,180,5519
27889,VA,24476,190,190,10914,150,7108
27890,VA,24477,5190,5190,278337,4330,206729
27891,VA,24479,720,720,40204,570,24959
27892,VA,24482,2260,2260,118790,1930,83126
27893,VA,24483,300,300,13698,230,9367
27894,VA,24484,360,360,19907,290,11156
27895,VA,24485,170,170,7854,150,5939
27896,VA,24486,1730,1730,97707,1500,71254
27897,VA,24487,120,120,5214,80,2870
27898,VA,24501,10870,10870,354818,9810,291539
27899,VA,24502,18170,18170,860194,15440,647456
27900,VA,24503,9140,9140,893928,7170,527425
27901,VA,24504,4060,4060,163157,3600,124919
27902,VA,24517,2400,2400,108941,2060,77014
27903,VA,24520,1010,1010,45626,850,34593
27904,VA,24521,4440,4440,226685,3720,160958
27905,VA,24522,4370,4370,213357,3680,155026
27906,VA,24523,8550,8550,409615,7040,288363
27907,VA,24526,630,630,34923,530,24891
27908,VA,24527,1340,1340,56804,1200,45150
27909,VA,24528,1360,1360,56012,1140,40893
27910,VA,24529,700,700,32704,530,19690
27911,VA,24530,460,460,18823,390,14003
27912,VA,24531,3500,3500,176641,2930,115694
27913,VA,24534,650,650,26951,550,20874
27914,VA,24536,100,100,5155,70,3413
27915,VA,24538,2060,2060,108290,1800,81317
27916,VA,24540,13580,13580,557973,11660,409580
27917,VA,24541,11620,11620,567088,9780,369664
27918,VA,24549,1770,1770,82165,1540,63587
27919,VA,24550,3400,3400,178302,2970,139789
27920,VA,24551,11240,11240,891988,9420,629032
27921,VA,24553,790,790,33146,670,25508
27922,VA,24554,1620,1620,71970,1370,54427
27923,VA,24555,920,920,40329,800,28591
27924,VA,24556,1480,1480,108488,1210,72154
27925,VA,24557,3150,3150,140249,2690,99965
27926,VA,24558,2830,2830,139181,2360,95260
27927,VA,24562,230,230,10608,190,7551
27928,VA,24563,2270,2270,96417,1940,72047
27929,VA,24565,460,460,16119,420,12950
27930,VA,24566,590,590,25871,520,19921
27931,VA,24569,430,430,18049,370,12857
27932,VA,24571,810,810,42806,670,30037
27933,VA,24572,7460,7460,341661,6440,264666
27934,VA,24574,1740,1740,92711,1470,67275
27935,VA,24577,1970,1970,79267,1630,60006
27936,VA,24578,480,480,26882,370,15017
27937,VA,24579,610,610,23796,540,18567
27938,VA,24580,260,260,10549,230,8244
27939,VA,24586,2400,2400,110506,2080,84719
27940,VA,24588,4230,4230,203562,3620,152869
27941,VA,24589,890,890,39203,800,32624
27942,VA,24590,3580,3580,197107,2990,141318
27943,VA,24592,5640,5640,264568,4860,184974
27944,VA,24593,920,920,46632,790,37419
27945,VA,24594,700,700,32376,610,23260
27946,VA,24597,490,490,20180,400,15699
27947,VA,24598,740,740,36404,630,25725
27948,VA,24599,250,250,9654,220,7600
27949,VA,24602,240,240,7439,200,5633
27950,VA,24603,340,340,13501,310,11292
27951,VA,24605,3480,3480,193724,2870,128392
27952,VA,24606,110,110,3874,90,3126
27953,VA,24607,110,110,4776,80,3726
27954,VA,24609,2460,2460,114000,2120,84212
27955,VA,24612,220,220,7093,180,5702
27956,VA,24613,340,340,13445,300,10948
27957,VA,24614,2350,2350,117559,2000,80465
27958,VA,24620,720,720,25686,610,19355
27959,VA,24622,280,280,10282,240,8392
27960,VA,24628,180,180,6420,150,5225
27961,VA,24630,2460,2460,104837,2110,77919
27962,VA,24631,400,400,15976,330,11244
27963,VA,24634,190,190,7207,170,5617
27964,VA,24635,210,210,5825,170,4215
