,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT
19477,NC,28709,950,950,44110,730,30177
19478,NC,28711,6150,6150,345696,4600,201508
19479,NC,28712,8010,8010,478832,5290,217379
19480,NC,28713,3810,3810,163234,3040,105037
19481,NC,28714,6330,6330,283666,4890,190589
19482,NC,28715,11780,11780,645793,9740,441220
19483,NC,28716,7740,7740,348819,6420,263588
19484,NC,28717,1180,1180,99997,800,41160
19485,NC,28718,290,290,16819,190,6391
19486,NC,28719,4290,4290,179938,3010,91832
19487,NC,28721,4540,4540,221555,3660,152928
19488,NC,28722,2870,2870,167315,1950,85874
19489,NC,28723,2920,2920,125858,2400,84516
19490,NC,28725,390,390,17731,290,10750
19491,NC,28726,1480,1480,50732,1250,38007
19492,NC,28729,1780,1780,92095,1250,55159
19493,NC,28730,4460,4460,323011,3520,196771
19494,NC,28731,4070,4070,296691,2780,129964
19495,NC,28732,8520,8520,597862,7110,405763
19496,NC,28734,11260,11260,521754,8320,294789
19497,NC,28735,140,140,6990,110,3824
19498,NC,28736,280,280,18991,180,8861
19499,NC,28739,9220,9220,599258,6310,299817
19500,NC,28740,870,870,36614,690,27697
19501,NC,28741,1740,1740,163403,1130,66504
19502,NC,28742,1460,1460,81651,1170,54360
19503,NC,28743,800,800,32274,590,21157
19504,NC,28745,700,700,43736,470,22189
19505,NC,28746,1140,1140,83215,750,39991
19506,NC,28747,810,810,42011,570,21530
19507,NC,28748,5470,5470,250189,4500,180287
19508,NC,28749,160,160,11238,80,2351
19509,NC,28751,1780,1780,84856,1230,46496
19510,NC,28752,12050,12050,502009,10260,382071
19511,NC,28753,4600,4600,196078,3650,139548
19512,NC,28754,3350,3350,158622,2630,105531
19513,NC,28756,1720,1720,84053,1360,54367
19514,NC,28757,310,310,24766,200,7402
19515,NC,28759,3380,3380,227217,2580,144385
19516,NC,28761,3250,3250,160626,2690,113036
19517,NC,28762,3030,3030,125509,2540,93783
19518,NC,28763,1130,1130,45899,860,28511
19519,NC,28766,700,700,32664,550,21329
19520,NC,28768,3040,3040,165283,2160,92348
