,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT,city,address,lat,long,categories,name
17032,NV,89014,19270.0,19270.0,1098072.0,16600.0,773486.0,Henderson,155 N Gibson Rd 2,,,brewery,James Joseph Brewing Co Inc
17033,NV,89015,17670.0,17670.0,915437.0,14830.0,667340.0,,,,,,
17034,NV,89018,350.0,350.0,17930.0,290.0,14176.0,,,,,,
17035,NV,89019,1100.0,1100.0,44536.0,930.0,35160.0,,,,,,
17036,NV,89020,400.0,400.0,16433.0,320.0,12268.0,,,,,,
17037,NV,89021,1210.0,1210.0,98148.0,960.0,68790.0,,,,,,
17038,NV,89025,490.0,490.0,28128.0,430.0,20410.0,,,,,,
17039,NV,89027,6550.0,6550.0,381893.0,4230.0,161345.0,Mesquite,403 Paradise Pkwy,,,brewery,Terrace At Wolf Creek Club
17040,NV,89029,3470.0,3470.0,180451.0,2320.0,75503.0,,,,,,
17041,NV,89030,19630.0,19630.0,542209.0,17780.0,473795.0,,,,,,
17042,NV,89031,31540.0,31540.0,1492128.0,28010.0,1222131.0,,,,,,
17043,NV,89032,20100.0,20100.0,805211.0,17720.0,662060.0,North Las Vegas,1849 W Cheyenne Ave,,,brewery,Molson Coors Brewing Co
17044,NV,89040,1280.0,1280.0,72610.0,940.0,48398.0,,,,,,
17045,NV,89042,310.0,310.0,18153.0,250.0,12161.0,,,,,,
17046,NV,89043,390.0,390.0,20259.0,270.0,10963.0,,,,,,
17047,NV,89044,10330.0,10330.0,1056235.0,7240.0,622682.0,,,,,,
17048,NV,89045,670.0,670.0,58156.0,650.0,52769.0,,,,,,
17049,NV,89046,220.0,220.0,9503.0,170.0,6340.0,,,,,,
17050,NV,89048,7590.0,7590.0,347603.0,5210.0,199479.0,,,,,,
17051,NV,89049,1140.0,1140.0,66796.0,980.0,49992.0,,,,,,
17052,NV,89052,26150.0,26150.0,3257005.0,19430.0,1626425.0,Henderson,2230 W Horizon Ridge Pkwy,36.0066,-115.0848,brewery,U Bottle It
17053,NV,89060,3730.0,3730.0,171596.0,2450.0,94003.0,,,,,,
17054,NV,89061,2250.0,2250.0,128395.0,1460.0,69889.0,,,,,,
17055,NV,89074,25130.0,25130.0,1858914.0,20840.0,1267356.0,Henderson,1051 Mary Crest Rd,,,brewery,Joseph James Brewing Co
17056,NV,89081,16210.0,16210.0,754476.0,14570.0,616439.0,,,,,,
17057,NV,89084,12110.0,12110.0,768463.0,9900.0,561337.0,,,,,,
17058,NV,89085,1720.0,1720.0,121527.0,1520.0,101962.0,,,,,,
17059,NV,89086,2520.0,2520.0,103412.0,2320.0,91518.0,,,,,,
17060,NV,89101,15070.0,15070.0,522011.0,13580.0,381983.0,Las Vegas,450 Fremont St,36.16946819,-115.1409245,brewery,Banger Brewing
17061,NV,89101,15070.0,15070.0,522011.0,13580.0,381983.0,Las Vegas,450 Fremont St.,36.169876,-115.141235,brewery,Banger Brewing
17062,NV,89101,15070.0,15070.0,522011.0,13580.0,381983.0,Las Vegas,450 Fremont St 135,36.1701,-115.141,brewery,Banger Brewing Co
17063,NV,89102,15950.0,15950.0,727081.0,13680.0,459940.0,,,,,,
17064,NV,89103,23950.0,23950.0,1043763.0,20470.0,719570.0,Las Vegas,3300 E Flamingo Rd 17,,,brewery,Camo Brewing Co Inc
17065,NV,89104,18060.0,18060.0,593178.0,15860.0,477924.0,,,,,,
17066,NV,89106,10430.0,10430.0,332710.0,9060.0,258265.0,,,,,,
17067,NV,89107,17180.0,17180.0,925893.0,14730.0,561914.0,,,,,,
17068,NV,89108,31660.0,31660.0,1148851.0,27610.0,929954.0,,,,,,
17069,NV,89109,3570.0,3570.0,704088.0,2720.0,243297.0,Las Vegas,Paris Las Vegas,,,brewery,Chateau Beer Garden
17070,NV,89109,3570.0,3570.0,704088.0,2720.0,243297.0,Las Vegas,3555 Las Vegas Blvd S,36.11595019,-115.1707506,brewery,Sin City Brewing Co Flamingo
17071,NV,89109,3570.0,3570.0,704088.0,2720.0,243297.0,Las Vegas,3377 Las Vegas Blvd S,,,brewery,Sin City Brewing Co.
17072,NV,89109,3570.0,3570.0,704088.0,2720.0,243297.0,Las Vegas,3663 S Las Vegas Blvd,36.11064,-115.16933,brewery,Zombie Burlesque
17073,NV,89109,3570.0,3570.0,704088.0,2720.0,243297.0,Las Vegas,3377 Las Vegas Blvd S Ste 2120,,,brewery,Sin City Brewing Co.
17074,NV,89110,30210.0,30210.0,1124151.0,26780.0,913278.0,,,,,,
17075,NV,89113,15650.0,15650.0,1258645.0,13450.0,788549.0,,,,,,
17076,NV,89115,22980.0,22980.0,696879.0,20940.0,615879.0,,,,,,
17077,NV,89117,27990.0,27990.0,2273210.0,22820.0,1285468.0,Las Vegas,8410 W Desert Inn Rd,,,brewery,Old School Brewing Company
17078,NV,89117,27990.0,27990.0,2273210.0,22820.0,1285468.0,Las Vegas,7935 W Sahara Ave Ste #Las Ste 504,36.14367,-115.26428,brewery,Sin City Brewing Co
17079,NV,89118,10370.0,10370.0,582479.0,8920.0,381624.0,Las Vegas,5750 S Decatur Blvd,,,brewery,Putter's Tavern
17080,NV,89118,10370.0,10370.0,582479.0,8920.0,381624.0,Las Vegas,5230 W Patrick Ln 100,36.0795,-115.2127,brewery,Sin City Beer Co
17081,NV,89119,21640.0,21640.0,830378.0,19390.0,604606.0,,,,,,
17082,NV,89120,11540.0,11540.0,759747.0,9710.0,436354.0,,,,,,
17083,NV,89121,29550.0,29550.0,1104696.0,25120.0,827246.0,,,,,,
17084,NV,89122,23270.0,23270.0,893988.0,20150.0,709662.0,,,,,,
17085,NV,89123,27960.0,27960.0,1688452.0,23670.0,1244688.0,,,,,,
17086,NV,89124,290.0,290.0,24299.0,220.0,14718.0,,,,,,
17087,NV,89128,17690.0,17690.0,967320.0,14660.0,682059.0,,,,,,
17088,NV,89129,24960.0,24960.0,1620940.0,21410.0,1174413.0,,,,,,
17089,NV,89130,16010.0,16010.0,922413.0,13210.0,661111.0,Las Vegas,4543 N Rancho Dr,36.2425915,-115.2357314,brewery,Big Dog's Draft House
17090,NV,89131,21280.0,21280.0,1769985.0,17990.0,1245865.0,,,,,,
17091,NV,89134,12910.0,12910.0,1968441.0,7060.0,819805.0,,,,,,
17092,NV,89135,14050.0,14050.0,2700973.0,10240.0,1464161.0,,,,,,
17093,NV,89138,6890.0,6890.0,928231.0,5870.0,654404.0,,,,,,
17094,NV,89139,20360.0,20360.0,1168349.0,18240.0,930365.0,Las Vegas,8020 S Rainbow Blvd 100-465,36.043,-115.2419,brewery,Notley Brewing
17095,NV,89141,14590.0,14590.0,1500347.0,12770.0,1026250.0,,,,,,
17096,NV,89142,15600.0,15600.0,579915.0,14100.0,500114.0,,,,,,
17097,NV,89143,5590.0,5590.0,366022.0,4960.0,291032.0,,,,,,
17098,NV,89144,8860.0,8860.0,1166470.0,7200.0,659371.0,,,,,,
17099,NV,89145,12150.0,12150.0,1684640.0,9910.0,566582.0,,,,,,
17100,NV,89146,9050.0,9050.0,454886.0,7480.0,293824.0,Las Vegas,2780 S Jones Blvd 3793,36.1389,-115.225,brewery,Bugsy Brewing Inc.
17101,NV,89147,26570.0,26570.0,1339427.0,22560.0,985731.0,,,,,,
17102,NV,89148,25150.0,25150.0,1759938.0,22150.0,1198615.0,Las Vegas,8912 Spanish Ridge Ave,36.0066,-115.1277,brewery,Stone Brewing Co
17103,NV,89149,17960.0,17960.0,1461547.0,15230.0,972749.0,,,,,,
17104,NV,89156,11940.0,11940.0,441363.0,10480.0,358102.0,,,,,,
17105,NV,89161,150.0,150.0,18713.0,120.0,8231.0,,,,,,
17106,NV,89166,9710.0,9710.0,654161.0,8920.0,561576.0,,,,,,
17107,NV,89169,9600.0,9600.0,481675.0,8510.0,266970.0,,,,,,
17108,NV,89178,17210.0,17210.0,1138833.0,15510.0,928756.0,Las Vegas,9491 Bachelors Fortune St,36.0159,-115.2956,brewery,Playhouse Brewing
17109,NV,89179,4860.0,4860.0,335517.0,4500.0,291255.0,,,,,,
17110,NV,89183,17580.0,17580.0,950453.0,15910.0,761335.0,,,,,,
17111,NV,89191,620.0,620.0,16831.0,580.0,13999.0,,,,,,
17112,NV,89301,2250.0,2250.0,125014.0,1890.0,94540.0,,,,,,
17113,NV,89310,220.0,220.0,12509.0,170.0,7906.0,,,,,,
17114,NV,89311,110.0,110.0,4358.0,90.0,3160.0,,,,,,
17115,NV,89316,490.0,490.0,34136.0,410.0,23022.0,,,,,,
17116,NV,89317,160.0,160.0,9752.0,110.0,5397.0,,,,,,
17117,NV,89318,430.0,430.0,22028.0,340.0,15473.0,,,,,,
17118,NV,89319,150.0,150.0,7353.0,130.0,5984.0,,,,,,
17119,NV,89402,350.0,350.0,100686.0,260.0,17173.0,,,,,,
17120,NV,89403,7460.0,7460.0,410529.0,5920.0,276431.0,,,,,,
17121,NV,89406,10100.0,10090.0,522780.0,8240.0,369606.0,,,,,,
17122,NV,89408,9150.0,9150.0,464282.0,7690.0,348779.0,,,,,,
17123,NV,89410,5470.0,5470.0,372885.0,3890.0,187764.0,,,,,,
17124,NV,89411,700.0,700.0,126252.0,410.0,37082.0,,,,,,
17125,NV,89412,100.0,100.0,4466.0,80.0,2653.0,,,,,,
17126,NV,89413,180.0,180.0,87815.0,100.0,24601.0,,,,,,
17127,NV,89414,120.0,120.0,6162.0,100.0,5125.0,,,,,,
17128,NV,89415,1530.0,1530.0,73975.0,1190.0,53154.0,,,,,,
17129,NV,89418,130.0,130.0,5234.0,100.0,4083.0,,,,,,
17130,NV,89419,1430.0,1430.0,77249.0,1200.0,59265.0,,,,,,
17131,NV,89421,170.0,170.0,6725.0,130.0,4150.0,,,,,,
17132,NV,89423,6010.0,6010.0,472491.0,4080.0,243093.0,,,,,,
