,STATE,ZIP Code,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT,Brewery,Address,City,State
29623,VA,22204,27310.0,27310.0,1919634.0,23790.0,1581615.0,,,,
29624,VA,22205,8400.0,8400.0,1316145.0,6900.0,928306.0,,,,
29625,VA,22206,12140.0,12140.0,1086518.0,10860.0,906100.0,new district brewing company,2709 s oakland st,Arlington,VA
29626,VA,22207,15000.0,15000.0,3599618.0,11790.0,1997534.0,,,,
29627,VA,22209,7920.0,7920.0,1013816.0,7000.0,662700.0,,,,
29628,VA,22211,500.0,500.0,19701.0,500.0,18694.0,,,,
29629,VA,22213,1720.0,1720.0,310139.0,1430.0,196835.0,,,,
29630,VA,22301,7270.0,7270.0,1156813.0,6400.0,814624.0,,,,
29631,VA,22302,9550.0,9550.0,1249917.0,8300.0,845219.0,,,,
29632,VA,22303,9050.0,9050.0,662967.0,7900.0,533936.0,,,,
29633,VA,22304,25810.0,25810.0,2066205.0,22350.0,1567685.0,port city brewing co.,3950 wheeler ave,Alexandria,VA
29634,VA,22305,8640.0,8640.0,740745.0,7810.0,602084.0,hops grillhouse and brewery,3625 jefferson davis hwy,Alexandria,VA
29635,VA,22306,15720.0,15720.0,996714.0,13470.0,770247.0,,,,
29636,VA,22307,5460.0,5460.0,838833.0,4360.0,500596.0,,,,
29637,VA,22308,5950.0,5950.0,1111552.0,4700.0,683364.0,,,,
29638,VA,22309,16370.0,16370.0,1324933.0,13950.0,931144.0,,,,
29639,VA,22310,14820.0,14820.0,1403973.0,12680.0,1070193.0,,,,
29640,VA,22311,9750.0,9750.0,631077.0,8120.0,470543.0,,,,
29641,VA,22312,15600.0,15600.0,1129648.0,13150.0,824326.0,,,,
29642,VA,22314,19400.0,19400.0,2968869.0,16680.0,1949012.0,,,,
29643,VA,22315,13920.0,13920.0,1431764.0,12300.0,1147117.0,,,,
29644,VA,22401,11680.0,11680.0,774767.0,10170.0,543531.0,red dragon brewery,1419 princess anne st,Fredericksburg,VA
29645,VA,22401,11680.0,11680.0,774767.0,10170.0,543531.0,spencer devon brewing,106 george st,Fredericksburg,VA
29646,VA,22401,11680.0,11680.0,774767.0,10170.0,543531.0,strangeways brewing - fxbg,350 lansdowne rd,Fredericksburg,VA
29647,VA,22405,14740.0,14740.0,1121833.0,12730.0,838746.0,adventure brewing co,33 perchwood dr ste 101,Fredericksburg,VA
29648,VA,22405,14740.0,14740.0,1121833.0,12730.0,838746.0,highmark brewery,390 kings hwy,Fredericksburg,VA
29649,VA,22406,11630.0,11630.0,913716.0,9600.0,652710.0,"6 bears & a goat brewing company, llc",1140 international pkwy,Fredericksburg,VA
29650,VA,22407,27450.0,27450.0,1848051.0,23410.0,1365626.0,,,,
29651,VA,22408,14000.0,14000.0,952424.0,12390.0,741905.0,maltese brewing company,11047 pierson dr ste b,Fredericksburg,VA
29652,VA,22427,1520.0,1520.0,83118.0,1260.0,56559.0,,,,
29653,VA,22432,370.0,370.0,18753.0,270.0,9337.0,,,,
29654,VA,22435,1090.0,1090.0,53407.0,860.0,30008.0,,,,
29655,VA,22436,370.0,370.0,17175.0,300.0,12842.0,,,,
29656,VA,22437,310.0,310.0,14334.0,250.0,10268.0,,,,
29657,VA,22438,200.0,200.0,10475.0,150.0,6693.0,,,,
29658,VA,22443,3900.0,3900.0,221688.0,3090.0,149298.0,colonial beach brewing,215 washington ave ste c,Colonial Beach,VA
29659,VA,22448,780.0,780.0,55729.0,660.0,38866.0,,,,
29660,VA,22454,790.0,790.0,40680.0,670.0,28328.0,,,,
29661,VA,22460,750.0,750.0,31044.0,570.0,19971.0,,,,
29662,VA,22469,920.0,920.0,40545.0,740.0,25152.0,,,,
29663,VA,22473,2100.0,2100.0,126740.0,1440.0,62590.0,,,,
29664,VA,22476,140.0,140.0,5629.0,110.0,4045.0,,,,
29665,VA,22480,620.0,620.0,66291.0,300.0,20027.0,,,,
29666,VA,22482,1540.0,1540.0,102034.0,1060.0,48060.0,,,,
29667,VA,22485,10650.0,10650.0,772927.0,9330.0,604866.0,,,,
29668,VA,22488,690.0,690.0,33613.0,560.0,19606.0,,,,
29669,VA,22503,1660.0,1660.0,96324.0,1220.0,49934.0,,,,
