,Brewery,Address,City,State,ZIP Code
668,Hermitage Brewing Company,1627 S 7th St,San Jose,CA,95112
670,High Water Brewing,,Stockton,CA,95204
687,Hop Forged Brewing Company,,Hanford,CA,93230
726,John Scott Brewing Co.,,Trabuco Canyon,CA,92679
761,Knowlwood Enterprises Inc,,anaheim,CA,92807
763,LA Bodega Brewing Co,,Whittier,CA,90603
778,Lawless Brewing,,Los Angeles,CA,90068
790,Line 51 Brewing,,Oakland,CA,
795,LogOff Brewing LLC,,Carmichael,CA,95608
801,Los Molinos Brewing Company,,San Clemente,CA,92672
804,Lost Cove Brewing Company,,Truckee,CA,96161
806,Lot 713 Craft Brewery,,Riverside,CA,92506
810,MachineHead Brewing Co,,Clovis,CA,93612
818,Magosh Brewing,,Kingsburg,CA,93631
840,Moksha Beer,,San Jose,CA,95154
873,Northspur Brewing Co,,Willits,CA,95490
876,Oak Grove Brewing Company,,Glendale,CA,91208
892,Old 290 Brewery,,Santa Ana,CA,92704
894,Old Hangtown Beer Works,,Placerville,CA,95667
901,Origin Brewer,,Richmond,CA,94805
903,Other Brother Beer Co.,,Seaside,CA,93955
909,Pacific Grove Brewing Company,,Monterey,CA,93940
918,Paperback Brewing Company,,Glendale,CA,91204
924,Pennyweight Craft Brewing,,Livermore,CA,94550
931,Pine Street Brewery,,San Francisco,CA,94109
952,Promised Land Brewing Company,,Gilroy,CA,95020
987,Rose & Thorn Brewing Co,,Bishop,CA,93514
1005,Salty Bear Brewing Co.,,Costa Mesa,CA,92626
1042,SLIVER Pizzeria,,Berkeley,CA,94704
1060,Soquel Fermentation Project,,Los Gatos,CA,95033
1061,South Bay Brewco,930 McLaughlin Ave,San Jose,CA,95122
1068,Speakeasy Ales and Lagers,1195 Evans Ave,San Francisco,CA,94124
1077,Star B Ranch,,Ramona,CA,92065
1093,Stover Brewing,,San Diego,CA,92124
1100,Stupid Face Brewing Company,,Barstow,CA,92311
1105,Surfing Donkey,,Santa Monica,CA,90405
1106,Surfridge Brewing Company,,El Segundo,CA,90245
1109,Tack Brewing,,Oakland,CA,94618
1123,"Temecula Brewing Company, Inc.",,Temecula,CA,92591
1133,The Cruisery,,Santa Barbara,CA,93101
1137,The Good Hop,,Oakland,CA,94612
1139,The Original 40 Brewing Company,,SAN DIEGO,CA,92104
1142,There Does Not Exist,,San Luis Obispo,CA,93401
1146,ThirstyBear Organic Brewery,661 Howard St,San Francisco,CA,94105
1165,Touchstone Brewing Company,,Sacramento,CA,95811
1172,Trademark Brewing,,Long Beach,CA,90813
1174,Trail Dog Brewing Co.,,Novato,CA,94945
1184,Two Dude Brew,,Clearlake,CA,95422
1191,Upshift Brewing Company LLC,,El Segundo,CA,90245
1196,Venice Duck Brewery,,Venice,CA,90291
1213,Wondrous Brewing Company,,Emeryville,CA,94608
1217,Woods Beer Company,1701 Telegraph Ave,Oakland,CA,94612
1238,6 & 40 Brewery/Taproom,,Lakewood,CO,80215
1243,Altered Code Brewing,,Fort Collins,CO,
1245,Altitude Brewing & Supply,,Denver,CO,80205
1255,Avant Garde Aleworks,,Estes Park,CO,80517
1260,Barrel Dog Brewing,,Evergreen,CO,80439
1264,Berthoud Brewing Co,,Loveland,CO,80538
1272,Big Trout Brewing Company,,Fraser,CO,80442
1274,Black Beak Brewing,,Denver,CO,80237
1276,Black Cat Brewing,,Boulder,CO,80302
1298,Brewery In Planning,,Steamboat Springs,CO,80488
1299,Brewery in Planning - Broomfield,,Broomfield,CO,80023
1300,"Brewery in Planning - Broomfield, CO",,Broomfield,CO,80020
1301,"Brewery in Planning - Colorado Springs, CO",,Colorado Springs,CO,80910
1302,Brewery in Planning - Denver,,Denver,CO,80209
1303,Brewery In Planning - Denver,,Denver,CO,80228
1304,"Brewery in Planning - Denver, CO",,Denver,CO,80220
1305,Brewery In Planning - Durango,,Durango,CO,81301
1306,"Brewery in Planning - Fort Collins, CO",,Fort Collins,CO,80524
1307,Brewery In Planning - Greeley,,Greeley,CO,80639
