GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,ADMIN_PCT,IMPUT_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of establishments,"Sales ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of sales from administrative records (%),Percent of sales estimated (%)
0400000US06,6,California,,7211,Traveler accommodation,,2012,5744,24453789,6403963,1571130,228821,4.3,12.9
0400000US06,6,California,,72111,Hotels (except casino hotels) and motels,,2012,5296,19811104,5445238,1338615,200926,5.1,10.7
0400000US06,6,California,,721110,Hotels (except casino hotels) and motels,,2012,5296,19811104,5445238,1338615,200926,5.1,10.7
0400000US06,6,California,,72112,Casino hotels,,2012,21,4373934,892932,219122,24767,0.2,23.7
0400000US06,6,California,,721120,Casino hotels,,2012,21,4373934,892932,219122,24767,0.2,23.7
0400000US06,6,California,,72119,Other traveler accommodation,,2012,427,268751,65793,13393,3128,11.4,2.7
0400000US06,6,California,,721191,Bed-and-breakfast inns,,2012,308,148839,36023,7515,1993,12.8,3
0400000US06,6,California,,721199,All other traveler accommodation,,2012,119,119912,29770,5878,1135,9.6,2.2
0400000US06,6,California,,7212,RV (recreational vehicle) parks and recreational camps,,2012,598,491986,127234,24858,4644,9.9,7.2
0400000US06,6,California,,72121,RV (recreational vehicle) parks and recreational camps,,2012,598,491986,127234,24858,4644,9.9,7.2
0400000US06,6,California,,721211,RV (recreational vehicle) parks and campgrounds,,2012,389,305364,71319,14750,2698,9,7.8
0400000US06,6,California,,721214,Recreational and vacation camps (except campgrounds),,2012,209,186622,55915,10108,1946,11.4,6.3
0400000US06,6,California,,7213,Rooming and boarding houses,,2012,229,123538,21251,5264,1055,16.9,4.4
0400000US06,6,California,,72131,Rooming and boarding houses,,2012,229,123538,21251,5264,1055,16.9,4.4
0400000US06,6,California,,721310,Rooming and boarding houses,,2012,229,123538,21251,5264,1055,16.9,4.4
0400000US06,6,California,,722,Food services and drinking places,,2012,71989,65761059,18595307,4496623,1160464,22.5,11.3
0400000US06,6,California,,7223,Special food services,,2012,3779,4883798,1366137,307889,63172,8.9,5
0400000US06,6,California,,72231,Food service contractors,,2012,2096,3696877,1019280,238267,43354,3.5,3.7
0400000US06,6,California,,722310,Food service contractors,,2012,2096,3696877,1019280,238267,43354,3.5,3.7
0400000US06,6,California,,72232,Caterers,,2012,1255,1025310,312951,62960,17770,24.6,9
0400000US06,6,California,,722320,Caterers,,2012,1255,1025310,312951,62960,17770,24.6,9
